Table,Field,IsLinkIDField,LinkedTable_Inferred,Inference,LinkBase
AccountingTemplates,LinkID,True,,ambiguous,
AccountingTemplates,LinkIDCategory,True,Categories,prefix-exact,Category
Activities,LinkID,True,,ambiguous,
Activities,LinkIDActivityStation,True,ActivityStations,prefix-exact,ActivityStation
Activities,LinkIDCategory,True,Categories,prefix-exact,Category
Activities,LinkIDDepartment,True,Departments,prefix-exact,Department
Activities,LinkIDParent,True,,prefix-nomatch,Parent
Activities,LinkIDPredecessor,True,,prefix-nomatch,Predecessor
Activities,LinkIDProject,True,Projects,prefix-exact,Project
Activities,LinkIDProjectActivity,True,,prefix-nomatch,ProjectActivity
Activities,LinkIDShift,True,Shifts,prefix-exact,Shift
Activities,LinkIDWorkOrder,True,Workorders,prefix-case,WorkOrder
ActivityStations,LinkID,True,,ambiguous,
ActivityStations,LinkIDCategory,True,Categories,prefix-exact,Category
ActivityStations,LinkIDParentStation,True,ParentStations,prefix-exact,ParentStation
ActivityStations,LinkIDProcessingStation,True,ProcessingStations,prefix-exact,ProcessingStation
Attachment,LinkID,True,,ambiguous,
Attachment,LinkIDCategory,True,Categories,prefix-exact,Category
Attachment,LinkIDCreator,True,,prefix-nomatch,Creator
Attachment,LinkIDParent,True,,prefix-nomatch,Parent
AutoCADDrawings,LinkID,True,,ambiguous,
AutoCADDrawings,LinkIDCategory,True,Categories,prefix-exact,Category
BiesseMachineSetting,LinkID,True,,ambiguous,
BluePrintViews,LinkID,True,,ambiguous,
BluePrintViews,LinkIDCategory,True,Categories,prefix-exact,Category
BluePrintViews,LinkIDLocation,True,Locations,prefix-exact,Location
BluePrintViews,LinkIDProject,True,Projects,prefix-exact,Project
BluePrintViews,LinkIDTiffDrawing1,True,,prefix-nomatch,TiffDrawings
BluePrintViews,LinkIDTiffDrawing2,True,,prefix-nomatch,TiffDrawings
BluePrintViews,LinkIDTiffDrawing3,True,,prefix-nomatch,TiffDrawings
BluePrintViews,LinkIDTiffDrawing4,True,,prefix-nomatch,TiffDrawings
BluePrintViews,LinkIDTiffDrawing5,True,,prefix-nomatch,TiffDrawings
Breaks,LinkID,True,,ambiguous,
Breaks,LinkIDCategory,True,Categories,prefix-exact,Category
BundleItemSettings,LinkID,True,,ambiguous,
BundleItems,LinkID,True,,ambiguous,
BundleItems,LinkIDBundle,True,Bundles,prefix-exact,Bundle
BundleItems,LinkIDItem,True,,prefix-nomatch,Item
BundleItems,LinkIDProduct,True,Products,prefix-exact,Product
BundleItems,LinkIDProject,True,Projects,prefix-exact,Project
